frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated	startTS	endTS
137	0.055404	0.080774	0.535116	0.507262	0.021663	0.000000	1.144815	1.200219	-0.915061	0.021091	0.323357	1        	1	18736.263748	18737.463967	
138	0.054913	0.080997	0.505322	0.518336	0.019110	0.000000	1.123765	1.178678	-0.920645	0.020248	0.328080	1        	1	18737.464018	18738.642697	
139	0.056454	0.071368	0.210961	0.493551	0.009309	0.000000	0.785189	0.841644	-0.926779	0.017800	0.333248	1        	1	18738.642720	18739.484364	
140	0.055089	0.077932	0.201979	0.490367	0.009191	0.000000	0.779469	0.834558	-0.935847	0.018466	0.347447	1        	1	18739.484397	18740.318955	
141	0.055212	0.078275	0.389486	0.496604	0.009520	0.000000	0.973885	1.029097	-0.941437	0.019843	0.353091	1        	1	18740.318989	18741.348086	
142	0.054836	0.070601	0.221576	0.487577	0.020284	0.000000	0.800038	0.854874	-0.950591	0.019982	0.367786	1        	1	18741.348123	18742.202997	
143	0.061720	0.079577	0.227273	0.501104	0.026990	0.000000	0.834944	0.896664	-0.955750	0.022053	0.377828	1        	1	18742.203062	18743.099726	
144	0.058171	0.085787	0.474781	0.497661	0.019579	0.000000	1.077809	1.135979	-0.962065	0.023872	0.385741	1        	1	18743.099759	18744.235738	
145	0.055566	0.090592	0.348969	0.526625	0.022814	0.000000	0.988999	1.044565	-0.967563	0.022832	0.392518	1        	1	18744.235851	18745.280416	
146	0.055469	0.090010	0.484405	0.521807	0.019122	0.000000	1.115344	1.170813	-0.973417	0.023076	0.401943	1        	1	18745.280443	18746.451256	
147	0.056892	0.088938	0.476713	0.495138	0.009212	0.000000	1.070001	1.126893	-0.983629	0.022189	0.422851	1        	1	18746.451315	18747.578208	
148	0.054861	0.075135	0.249462	0.499392	0.009073	0.000000	0.833062	0.887923	-0.985127	0.022099	0.426283	1        	1	18747.578241	18748.466164	
149	0.054942	0.081370	0.470930	0.523656	0.022873	0.000000	1.098828	1.153770	-0.989439	0.022896	0.437381	1        	1	18748.466261	18749.620031	
150	0.055507	0.089372	0.502915	0.519990	0.019124	0.000000	1.131401	1.186908	-0.992945	0.022585	0.446093	1        	1	18749.620062	18750.806970	
151	0.055239	0.082489	0.449619	0.529480	0.009164	0.000000	1.070752	1.125991	-0.996310	0.023067	0.455803	1        	1	18750.807076	18751.933067	
152	0.054464	0.078314	0.225608	0.488202	0.009131	0.000000	0.801255	0.855719	-0.999332	0.024473	0.466707	1        	1	18751.933095	18752.788813	
153	0.061041	0.077661	0.366657	0.495952	0.009211	0.000000	0.949481	1.010522	-1.002987	0.023334	0.475312	1        	1	18752.788849	18753.799371	
154	0.054431	0.077454	0.254180	0.518550	0.016105	0.000000	0.866289	0.920720	-1.007279	0.022727	0.487470	1        	1	18753.799407	18754.720127	
155	0.054766	0.078874	0.233223	0.489979	0.009392	0.000000	0.811469	0.866235	-1.008930	0.021770	0.495108	1        	1	18754.720159	18755.586394	
156	0.055033	0.069434	0.191325	0.500457	0.009045	0.000000	0.770261	0.825294	-1.013572	0.022954	0.510043	1        	1	18755.586428	18756.411722	
157	0.054903	0.070862	0.492683	0.500665	0.019861	0.000000	1.084071	1.138974	-1.015669	0.023700	0.520627	1        	1	18756.411758	18757.550732	
158	0.055712	0.086919	0.439440	0.528844	0.009111	0.000000	1.064315	1.120027	-1.018685	0.023822	0.536870	1        	1	18757.550868	18758.670895	
159	0.054776	0.090351	0.475125	0.525946	0.019902	0.000000	1.111324	1.166099	-1.019276	0.023236	0.544605	1        	1	18758.671009	18759.837108	
160	0.055263	0.089327	0.523426	0.532052	0.019108	0.000000	1.163913	1.219176	-1.020436	0.024912	0.560032	1        	1	18759.837165	18761.056341	
161	0.055695	0.086794	0.509817	0.551505	0.020027	0.000000	1.168144	1.223839	-1.020204	0.025379	0.570816	1        	1	18761.056397	18762.280236	
162	0.055340	0.089909	0.459012	0.518878	0.018372	0.000000	1.086171	1.141511	-1.020341	0.023680	0.581991	1        	1	18762.280288	18763.421800	
163	0.055485	0.090284	0.348173	0.500995	0.008973	0.000000	0.948425	1.003910	-1.021309	0.025137	0.595013	1        	1	18763.421853	18764.425763	
164	0.055031	0.069950	0.197665	0.491677	0.008926	0.000000	0.768217	0.823248	-1.021577	0.026524	0.607060	1        	1	18764.425897	18765.249145	
165	0.055281	0.088501	0.308213	0.503997	0.022894	0.000000	0.923605	0.978886	-1.022536	0.027785	0.624968	1        	1	18765.249181	18766.228068	
166	0.056194	0.092877	0.575350	0.518431	0.019249	0.000000	1.205908	1.262103	-1.021740	0.028618	0.636287	1        	1	18766.228125	18767.490227	
167	0.055687	0.074429	0.452395	0.506878	0.019739	0.000000	1.053441	1.109128	-1.020623	0.030640	0.646567	1        	1	18767.490348	18768.599475	
168	0.055032	0.075328	0.466268	0.521563	0.020636	0.000000	1.083794	1.138826	-1.020018	0.030857	0.658989	1        	1	18768.599609	18769.738436	
169	0.057041	0.080787	0.498814	0.515768	0.020616	0.000000	1.115986	1.173026	-1.019927	0.028649	0.673329	1        	1	18769.738492	18770.911518	
170	0.056686	0.090823	0.433262	0.512813	0.021416	0.000000	1.058314	1.115001	-1.022006	0.030588	0.690697	1        	1	18770.911597	18772.026597	
171	0.055662	0.080914	0.375449	0.516896	0.018736	0.000000	0.991995	1.047656	-1.020922	0.033451	0.699739	1        	1	18772.026637	18773.074293	
172	0.055213	0.080737	0.510338	0.517210	0.020206	0.000000	1.128491	1.183705	-1.020327	0.034782	0.712836	1        	1	18773.074454	18774.258159	
173	0.058967	0.084254	0.493274	0.524902	0.018685	0.000000	1.121115	1.180082	-1.020649	0.036278	0.726824	1        	1	18774.258211	18775.438293	
174	0.054633	0.091743	0.467413	0.506215	0.021273	0.000000	1.086644	1.141278	-1.021812	0.038228	0.739489	1        	1	18775.438420	18776.579697	
175	0.055578	0.089872	0.577381	0.503094	0.014587	0.000000	1.184934	1.240513	-1.021189	0.039013	0.751112	1        	1	18776.579855	18777.820367	
176	0.054492	0.070491	0.527108	0.512296	0.017983	0.000000	1.127879	1.182371	-1.022320	0.039473	0.765048	1        	1	18777.820401	18779.002772	
177	0.055790	0.089301	0.375191	0.505455	0.017611	0.000000	0.987558	1.043348	-1.021554	0.037242	0.772628	1        	1	18779.002800	18780.046149	
